"timestep","planner","seed","seconds","utility"
39,pmc,17,1986.978,6.161608402151704
0,pmc,25,577.591,4.166670852083335
1,pmc,25,631.529,3.8780917555060013
2,pmc,25,775.352,4.209639886619451
3,pmc,25,1054.449,4.39383334608616
4,pmc,25,1152.312,4.727463741717601
5,pmc,25,938.661,4.864259324502938
6,pmc,25,1065.231,5.127033920993485
7,pmc,25,1076.557,4.933114508126463
8,pmc,25,1094.837,4.996863155547946
9,pmc,25,1099.513,5.100615454355026
10,pmc,25,1052.61,5.302608174087087
11,pmc,25,984.508,5.6063340392826575
12,pmc,25,1014.403,5.702634098946115
13,pmc,25,1029.17,5.471514840600899
14,pmc,25,1034.99,5.803197569993668
15,pmc,25,884.321,5.707014761885214
16,pmc,25,1082.502,5.502689121109515
17,pmc,25,1093.948,5.6646615968868295
18,pmc,25,1105.57,5.292346601243333
19,pmc,25,920.016,4.872435877846042
20,pmc,25,1052.623,4.501920944947662
21,pmc,25,954.331,4.594383426660852
22,pmc,25,1028.085,4.466934953413803
23,pmc,25,1073.507,4.6004428289657415
24,pmc,25,1048.661,4.694014458836554
25,pmc,25,1036.16,4.652279355416477
26,pmc,25,993.775,4.629771845908632
27,pmc,25,1124.966,4.368710375081475
28,pmc,25,1026.021,4.446307259635988
29,pmc,25,1036.462,4.177646076054453
30,pmc,25,1030.02,4.11678459618854
31,pmc,25,1075.032,3.8594955883083824
